Location,FullScallop_Number,T1_height,T1_length,T1_width,T2_height,T2_length,T2_width,T2_whole_weight,T2_body_weight,T2_adductor,sex,acini_1,acini_2,acini_3,acini_4,acini_5,acini_6,acini_7,acini_8,acini_9,acini_10,acini_11,acini_12,acini_13,acini_14,acini_15,acini_16,acini_17,acini_18,acini_19,acini_20,acini_21,acini_22,acini_23,acini_24,acini_25,acini_26,acini_27,acini_28,acini_29,acini_30,acini_31,acini_32,acini_count,mc_1_mode,mc_2_mean,mc_3_max
TI,309048,36,34,11,44.2,40.6,11.2,9.54,3.9,14,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,309058,,,,63.2,64.8,16.8,31.44,11.82,20,m,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,24,4,4,4
TI,309061,,,,61.1,60.9,17.5,30.75,11.87,20,m,2,3,2,2,3,2,3,3,2,2,3,3,2,2,2,2,2,3,3,2,2,2,2,2,,,,,,,,,24,2,2,2
TI,309063,,,,60.9,65.9,17.6,31.97,12.1,20,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,312009,54,51,16,59.1,61.5,19.8,35.54,13.82,22,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,312018,46,46,12,55,56.5,15.3,19.71,7.75,18,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,312054,57,55,15,60.6,65.7,15.9,31.04,10.67,19,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,312033,57,58,15,71,74,18.4,44.26,17.03,23,f,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,none,3,2,3,3,3,3,3,31,4,3,3
TI,312035,50,50,13,61.6,61.5,16.2,26.5,10.5,18,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,312055,55,54,16,64.5,67,18.2,34.48,13.4,21,m,3,4,3,3,3,3,3,3,3,4,2,3,3,2,3,3,4,4,3,3,3,3,4,4,,,,,,,,,24,3,3,3
TI,312053,49,47,12,61.2,59.9,15,23.7,9.61,18,m,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,24,3,3,3
TI,312043,51,51,14,56.5,54.8,16.4,23.92,11.05,19,m,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,,,,,,,,24,2,2,2
TI,312044,55,54,17,61,62.4,20,35.59,12.92,20,m,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,,,,,,,,,24,3,2,2
